handle,contestId,contestName,rank,oldRating,newRating,delta,ratingUpdateTime,is_outlier_IQR,reading_group
moai06,1954,Educational Codeforces Round 164 (Rated for Div. 2),8960,0,436,436,2024-04-12 16:35:00,True,Non-reader
moai06,1966,Codeforces Round 941 (Div. 2),7980,436,684,248,2024-04-27 16:35:00,True,Non-reader
moai06,1969,Educational Codeforces Round 165 (Rated for Div. 2),8887,684,861,177,2024-04-29 16:35:00,False,Non-reader
moai06,1972,Codeforces Round 942 (Div. 2),6032,861,999,138,2024-04-30 17:05:00,False,Non-reader
moai06,1968,Codeforces Round 943 (Div. 3),14553,999,1007,8,2024-05-02 17:00:00,False,Non-reader
moai06,1973,Codeforces Round 945 (Div. 2),11596,1007,1004,-3,2024-05-17 16:35:00,False,Non-reader
moai06,1974,Codeforces Round 946 (Div. 3),13359,1004,974,-30,2024-05-20 16:50:00,False,Non-reader
moai06,1975,Codeforces Round 947 (Div. 1 + Div. 2),8955,974,974,0,2024-05-25 17:35:00,False,Non-reader
moai06,1977,Codeforces Round 948 (Div. 2),10202,974,968,-6,2024-05-26 16:35:00,False,Non-reader
moai06,1976,Educational Codeforces Round 166 (Rated for Div. 2),5095,968,1095,127,2024-05-30 16:35:00,False,Non-reader
moai06,1981,Codeforces Round 949 (Div. 2),5598,1095,1117,22,2024-05-31 12:05:00,False,Non-reader
moai06,1980,Codeforces Round 950 (Div. 3),8425,1117,1141,24,2024-06-03 16:50:00,False,Non-reader
moai06,1979,Codeforces Round 951 (Div. 2),10782,1141,1122,-19,2024-06-06 16:35:00,False,Non-reader
moai06,1984,Codeforces Global Round 26,8288,1122,1093,-29,2024-06-09 17:35:00,False,Non-reader
moai06,1985,Codeforces Round 952 (Div. 4),6086,1093,1118,25,2024-06-11 17:05:00,False,Non-reader
moai06,1978,Codeforces Round 953 (Div. 2),10355,1118,1049,-69,2024-06-16 11:05:00,False,Non-reader
moai06,1986,Codeforces Round 954 (Div. 3),7414,1049,1099,50,2024-06-23 17:05:00,False,Non-reader
moai06,1982,"Codeforces Round 955 (Div. 2, with prizes from NEAR!)",7580,1099,1121,22,2024-06-25 16:35:00,False,Non-reader
moai06,1989,Educational Codeforces Round 167 (Rated for Div. 2),9226,1121,1111,-10,2024-06-27 16:35:00,False,Non-reader
moai06,1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),8499,1111,1098,-13,2024-06-30 17:35:00,False,Non-reader
moai06,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024,9573,1098,1091,-7,2024-07-07 16:50:00,False,Non-reader
moai06,1992,Codeforces Round 957 (Div. 3),6273,1091,1145,54,2024-07-11 16:50:00,False,Non-reader
moai06,1994,Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),7735,1145,1148,3,2024-07-18 16:35:00,False,Non-reader
moai06,1990,Codeforces Round 960 (Div. 2),10142,1148,1106,-42,2024-07-20 16:35:00,False,Non-reader
moai06,1995,Codeforces Round 961 (Div. 2),4912,1106,1176,70,2024-07-23 16:35:00,False,Non-reader
moai06,1996,Codeforces Round 962 (Div. 3),8050,1176,1181,5,2024-07-26 17:05:00,False,Non-reader
moai06,1991,Pinely Round 4 (Div. 1 + Div. 2),10789,1181,1123,-58,2024-07-28 17:35:00,False,Non-reader
moai06,1997,Educational Codeforces Round 168 (Rated for Div. 2),10771,1123,1122,-1,2024-07-30 16:35:00,False,Non-reader
moai06,1993,Codeforces Round 963 (Div. 2),7289,1122,1164,42,2024-08-04 16:35:00,False,Non-reader
moai06,1999,Codeforces Round 964 (Div. 4),8380,1164,1165,1,2024-08-06 17:00:00,False,Non-reader
moai06,1998,Codeforces Round 965 (Div. 2),10509,1165,1153,-12,2024-08-10 16:35:00,False,Non-reader
moai06,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2),7112,1153,1169,16,2024-08-11 17:35:00,False,Non-reader
moai06,2000,Codeforces Round 966 (Div. 3),4612,1169,1236,67,2024-08-13 16:55:00,False,Non-reader
moai06,2003,Codeforces Round 968 (Div. 2),7174,1236,1242,6,2024-08-25 16:35:00,False,Non-reader
moai06,2007,Codeforces Round 969 (Div. 2),9069,1242,1193,-49,2024-08-30 17:05:00,False,Non-reader
