timestamp,experience,weekly_time_on_codeforces,editorial_reading,handle
2025-10-12 19:58:45,1 - 2 years,< 5 hours per week,1,aveok
2025-10-12 19:58:56,> 5 years,> 20 hours per week,4,MDSPro
2025-10-12 19:59:05,2 - 5 years,> 20 hours per week,3,rshohruh
2025-10-12 19:59:08,1 - 2 years,> 20 hours per week,4,BehruzbekSuyunov
2025-10-12 19:59:27,1 - 2 years,< 5 hours per week,4,Jama
2025-10-12 19:59:39,1 - 2 years,5 -  10 hours per week,1,dilbek
2025-10-12 19:59:56,1 - 2 years,> 20 hours per week,2,hackstar
2025-10-12 20:05:33,1 - 2 years,5 -  10 hours per week,2,atik_uwu
2025-10-12 20:08:57,2 - 5 years,> 20 hours per week,3,azizbek_
2025-10-12 20:09:12,1 - 2 years,> 20 hours per week,3,DoNo0425
2025-10-12 20:10:52,1 - 2 years,10 - 20 hours per week,2,moai06
2025-10-12 20:14:48,2 - 5 years,10 - 20 hours per week,1,Bilolbek2011
2025-10-12 20:26:13,< 1 year,5 -  10 hours per week,4,Oddiyodam04
2025-10-12 20:27:53,1 - 2 years,< 5 hours per week,3,NewGhost
2025-10-12 20:29:17,> 5 years,< 5 hours per week,3,mbi
2025-10-12 20:31:18,> 5 years,5 -  10 hours per week,3,Odminbey
2025-10-12 20:33:13,2 - 5 years,5 -  10 hours per week,4,ismoilmirzouz
2025-10-12 20:53:59,2 - 5 years,< 5 hours per week,2,sadriddindusanov
2025-10-12 21:05:23,2 - 5 years,< 5 hours per week,2,Nurex_001
2025-10-12 21:12:10,1 - 2 years,10 - 20 hours per week,3,Diyorbek_Sh
2025-10-12 21:38:48,< 1 year,> 20 hours per week,2,Shakuu
2025-10-12 21:50:04,> 5 years,10 - 20 hours per week,5,-Azamat-
2025-10-12 22:03:11,1 - 2 years,5 -  10 hours per week,1,Timosh
