handle,contest_id,contest_name,start_time,rank,old_rating,new_rating,delta,startup_rank,startup_outlier,iqr_outlier
-Azamat-,1850,Codeforces Round 886 (Div. 4),2023-07-21 16:35:00,451,1333,1482,149,6.0,False,False
-Azamat-,1890,Codeforces Round 906 (Div. 2),2023-10-28 17:05:00,2928,1482,1463,-19,7.0,False,False
-Azamat-,1891,Codeforces Round 907 (Div. 2),2023-10-30 16:35:00,6663,1463,1377,-86,8.0,False,False
-Azamat-,1895,Educational Codeforces Round 157 (Rated for Div. 2),2023-11-03 16:35:00,3146,1377,1393,16,9.0,False,False
-Azamat-,1903,Codeforces Round 912 (Div. 2),2023-11-30 18:50:00,1415,1393,1439,46,10.0,False,False
-Azamat-,1907,Codeforces Round 913 (Div. 3),2023-12-05 17:00:00,2181,1439,1442,3,11.0,False,False
-Azamat-,1913,Educational Codeforces Round 160 (Rated for Div. 2),2023-12-18 16:35:00,2366,1442,1468,26,12.0,False,False
-Azamat-,1917,Codeforces Round 917 (Div. 2),2023-12-24 16:35:00,1467,1468,1532,64,13.0,False,False
-Azamat-,1920,Codeforces Round 919 (Div. 2),2024-01-13 16:35:00,2725,1532,1540,8,14.0,False,False
-Azamat-,1931,Codeforces Round 925 (Div. 3),2024-02-13 16:50:00,510,1540,1618,78,15.0,False,False
BehruzbekSuyunov,1918,Codeforces Round 922 (Div. 2),2024-01-30 16:45:00,13543,1168,1148,-20,6.0,False,False
BehruzbekSuyunov,1927,Codeforces Round 923 (Div. 3),2024-02-06 17:00:00,16632,1148,1089,-59,7.0,False,False
BehruzbekSuyunov,1928,Codeforces Round 924 (Div. 2),2024-02-11 11:35:00,11583,1089,976,-113,8.0,False,False
BehruzbekSuyunov,1931,Codeforces Round 925 (Div. 3),2024-02-13 16:50:00,6556,976,1063,87,9.0,False,False
BehruzbekSuyunov,1929,Codeforces Round 926 (Div. 2),2024-02-15 16:35:00,11730,1063,1040,-23,10.0,False,False
BehruzbekSuyunov,1930,think-cell Round 1,2024-02-17 17:35:00,3485,1040,1160,120,11.0,False,False
BehruzbekSuyunov,1932,Codeforces Round 927 (Div. 3),2024-02-18 14:20:00,4385,1160,1195,35,12.0,False,False
BehruzbekSuyunov,1926,Codeforces Round 928 (Div. 4),2024-02-19 16:50:00,9593,1195,1165,-30,13.0,False,False
BehruzbekSuyunov,1933,Codeforces Round 929 (Div. 3),2024-02-27 16:50:00,3144,1165,1247,82,14.0,False,False
BehruzbekSuyunov,1948,Educational Codeforces Round 163 (Rated for Div. 2),2024-03-15 16:35:00,4703,1247,1292,45,15.0,False,False
BehruzbekSuyunov,1946,Codeforces Round 936 (Div. 2),2024-03-22 16:35:00,5410,1292,1296,4,16.0,False,False
BehruzbekSuyunov,1950,Codeforces Round 937 (Div. 4),2024-03-28 17:00:00,1335,1296,1372,76,17.0,False,False
BehruzbekSuyunov,1951,Codeforces Global Round 25,2024-04-06 17:35:00,6930,1372,1324,-48,18.0,False,False
BehruzbekSuyunov,1955,Codeforces Round 938 (Div. 3),2024-04-08 16:50:00,2208,1324,1382,58,19.0,False,False
BehruzbekSuyunov,1954,Educational Codeforces Round 164 (Rated for Div. 2),2024-04-12 16:35:00,6226,1382,1355,-27,20.0,False,False
BehruzbekSuyunov,1956,Codeforces Round 939 (Div. 2),2024-04-13 16:35:00,12080,1355,1217,-138,21.0,False,False
BehruzbekSuyunov,1968,Codeforces Round 943 (Div. 3),2024-05-02 17:00:00,1202,1217,1335,118,22.0,False,False
BehruzbekSuyunov,1974,Codeforces Round 946 (Div. 3),2024-05-20 16:50:00,6897,1335,1293,-42,23.0,False,False
BehruzbekSuyunov,1975,Codeforces Round 947 (Div. 1 + Div. 2),2024-05-25 17:35:00,3177,1293,1355,62,24.0,False,False
BehruzbekSuyunov,1977,Codeforces Round 948 (Div. 2),2024-05-26 16:35:00,9840,1355,1269,-86,25.0,False,False
BehruzbekSuyunov,1976,Educational Codeforces Round 166 (Rated for Div. 2),2024-05-30 16:35:00,1616,1269,1401,132,26.0,False,False
BehruzbekSuyunov,1981,Codeforces Round 949 (Div. 2),2024-05-31 12:05:00,6853,1401,1323,-78,27.0,False,False
BehruzbekSuyunov,1984,Codeforces Global Round 26,2024-06-09 17:35:00,7172,1323,1271,-52,28.0,False,False
BehruzbekSuyunov,1985,Codeforces Round 952 (Div. 4),2024-06-11 17:05:00,1256,1271,1345,74,29.0,False,False
BehruzbekSuyunov,1978,Codeforces Round 953 (Div. 2),2024-06-16 11:05:00,1074,1345,1465,120,30.0,False,False
BehruzbekSuyunov,1986,Codeforces Round 954 (Div. 3),2024-06-23 17:05:00,1896,1465,1493,28,31.0,False,False
BehruzbekSuyunov,1982,"Codeforces Round 955 (Div. 2, with prizes from NEAR!)",2024-06-25 16:35:00,2944,1493,1504,11,32.0,False,False
BehruzbekSuyunov,1989,Educational Codeforces Round 167 (Rated for Div. 2),2024-06-27 16:35:00,9226,1504,1410,-94,33.0,False,False
BehruzbekSuyunov,1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),2024-06-30 17:35:00,2784,1410,1462,52,34.0,False,False
BehruzbekSuyunov,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024,2024-07-07 16:50:00,6143,1462,1421,-41,35.0,False,False
BehruzbekSuyunov,1992,Codeforces Round 957 (Div. 3),2024-07-11 16:50:00,8867,1421,1359,-62,36.0,False,False
BehruzbekSuyunov,1988,Codeforces Round 958 (Div. 2),2024-07-15 16:35:00,13713,1359,1219,-140,37.0,False,False
BehruzbekSuyunov,1994,Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),2024-07-18 16:35:00,5849,1219,1243,24,38.0,False,False
BehruzbekSuyunov,1990,Codeforces Round 960 (Div. 2),2024-07-20 16:35:00,2118,1243,1359,116,39.0,False,False
BehruzbekSuyunov,1996,Codeforces Round 962 (Div. 3),2024-07-26 17:05:00,1110,1359,1449,90,40.0,False,False
BehruzbekSuyunov,1997,Educational Codeforces Round 168 (Rated for Div. 2),2024-07-30 16:35:00,11306,1449,1369,-80,41.0,False,False
BehruzbekSuyunov,1999,Codeforces Round 964 (Div. 4),2024-08-06 17:00:00,1240,1369,1435,66,42.0,False,False
BehruzbekSuyunov,1998,Codeforces Round 965 (Div. 2),2024-08-10 16:35:00,12194,1435,1345,-90,43.0,False,False
BehruzbekSuyunov,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2),2024-08-11 17:35:00,12188,1345,1210,-135,44.0,False,False
